"Variable","RF_Importance","Lasso_Importance","Ridge_Importance","Enet_Importance","XGBoost_Importance"
"cohort_number",26.091900547281,0,12.3507055171742,0,0
"age",53.0614125541217,0,9.50327940351528,0,0
"sex",0.69069196251235,0,4.14526993430329,0,0
"race",2.76021794095477,0,10.9968611816103,12.2436561812753,0
"ethnicity",0,0,2.18676823161678,0,0
"education",11.123899535661,0,0.291188375480669,0,0
"rmr_kcald_BL",97.5477851985457,75.9647175117469,24.694407447666,54.138058963207,17.1031137637334
"spk_EE_int_kcal_day_BL",78.0850797608055,1.15838199370506,20.2226231806009,33.069872913612,80.017421121825
"avg_systolic_BL",42.0964448084268,0,8.38089284990298,0,25.7850928507714
"avg_diastolic_BL",46.1771588634981,0,5.98379638055247,0,0
"C_Reactive_Protein_BL",44.6493767558468,0,8.21204166957336,0,5.69085814732557
"Cholesterol_lipid_BL",36.3362108935251,0,2.31206567909447,0,0
"Ghrelin_BL",27.7538382490582,0,4.5612802005158,0,7.6083245117088
"Glucose_BL",29.3048042731759,0,5.95161488479065,0,0
"HDL_Total_Direct_lipid_BL",24.4645178660095,0,1.66469835333518,0,0
"Hemoglobin_A1C_BL",25.1060336253408,0,2.8222385339518,0,0
"Insulin_endo_BL",66.6910805557906,0,17.5719863190944,4.72405734459831,0
"LDL_Calculated_BL",28.8637737063475,0,4.16469770062453,0,0
"Leptin_BL",100,100,34.1220628201011,100,100
"Peptide_YY_BL",33.0024575272425,0,2.66986771349656,0,0
"Triglyceride_lipid_BL",35.4349294331965,0,0.320171848899443,0,0
"HOMA_IR_BL",86.1227237430727,0,14.8309105884922,0,89.8842685365972
"s__Methanobrevibacter_A smithii_A_1174",23.3924209233966,0,0.00545265747177637,0,0
"s__Methanosphaera stadtmanae",5.84252982424898,0,8.54104901209694,0,0
"s__Methanomassiliicoccus_A_1637 intestinalis",2.88953443466808,0,4.91497264557146,0,0
"s__UBA71 sp002506425",2.7091445893452,0,8.540764890108,0,0
"s__Actinomyces graevenitzii",9.32570958191369,0,2.8464503586542,0,0
"s__Actinomyces johnsonii",4.1269717795391,0,4.94487386715971,0,0
"s__Actinomyces urogenitalis",1.53977758411613,0,4.97061268792976,0,0
"s__Actinomyces viscosus",3.93946389417912,0,3.51492778277317,0,0
"s__Actinotignum schaalii_A_386418",2.31890014520944,0,4.98826589851044,0,0
"s__Gleimia europaea_A",3.23762332992078,0,4.99597878717677,0,0
"s__Mobiluncus curtisii",4.29036586400743,0,4.99704390850391,0,0
"g__Pauljensenia",5.96006082427449,0,3.48721456916053,0,0
"s__Pauljensenia hongkongensis",2.75693494812256,0,4.99362915893281,0,0
"s__Pauljensenia sp000308055",8.24481979293467,0,2.72776231574782,0,0
"s__Pauljensenia turicensis",3.56613873013963,0,3.26339199961309,0,0
"s__Schaalia odontolytica",38.1519541472027,0,6.75770929342828,0,0
"s__Peptidiphaga gingivicola",3.59242158373577,0,4.98688476465573,0,0
"s__Peptidiphaga sp000466165",25.4733759016125,0,22.5470239759381,0,0
"s__Varibaculum anthropi",5.9176054846062,0,5.90860571991394,0,0
"s__Varibaculum timonense_A",8.46467987165416,0,9.45871966502927,0,0
"s__Winkia neuii",0.658528655904514,0,4.98727135340938,0,0
"s__Alloscardovia omnicolens",9.22906820668166,0,3.98760831048908,0,0
"g__Bifidobacterium_388775",2.7109629800977,0,2.48798090832808,0,0
"s__Bifidobacterium adolescentis",20.8801612946331,0,1.83176312620583,0,0
"s__Bifidobacterium animalis",9.41747163588041,0,5.4646002254856,0,0
"s__Bifidobacterium bifidum",20.3759899045077,0,1.20164072104268,0,0
"s__Bifidobacterium leopoldii",2.08665802732576,0,4.53808398435937,0,0
"s__Bifidobacterium longum",26.3702532625191,0,0.0389758914504641,0,0
"s__Bifidobacterium merycicum",7.79200657324169,0,4.07939722697223,0,0
"s__Bifidobacterium moukalabense",3.74027452281472,0,10.0516433732663,0,0
"s__Bifidobacterium pseudocatenulatum",23.8129211099424,0,1.71352442284613,0,0
"s__Bifidobacterium pseudolongum",2.0172474784124,0,4.96188265958675,0,0
"s__Bifidobacterium ramosum",4.08218020902664,0,26.5291358420102,14.355049700031,0
"s__Bifidobacterium vaginale",2.78016780512227,0,3.20533127822116,0,0
"s__Scardovia wiggsiae",5.13430014065663,0,40.6099719703559,0,0
"g__Arthrobacter_I_385749",2.27142654985677,0,2.02086283737647,0,0
"g__Kocuria",2.37093668468405,0,4.95625621799635,0,0
"s__Rothia dentocariosa",7.00909791794596,0,33.2248465498748,4.14631253417249,0
"s__Rothia kristinae",2.26938755332401,0,4.95275607832268,0,0
"s__Rothia sp001808955",39.8350151479311,0,5.58947187922176,0,0
"g__Specibacter",7.61253547374178,0,31.8505572928639,0,0
"s__Corynebacterium argentoratense",4.67717516834496,0,7.89548743664385,0,0
"s__Corynebacterium aurimucosum",5.24136036404624,0,21.0101004619031,0,0
"s__Corynebacterium choanae",3.62916518457165,0,4.96304447404204,0,0
"s__Corynebacterium durum",5.33892020971739,0,5.23353121401036,0,0
"s__Corynebacterium kroppenstedtii",2.51368018204157,0,4.93922174220155,0,0
"s__Corynebacterium lowii",1.09532089983174,0,4.91897984882432,0,0
"s__Corynebacterium propinquum",4.42045787589423,0,40.4027111243762,0,0
"s__Corynebacterium simulans",3.39312028987017,0,4.89517612405567,0,0
"s__Corynebacterium sp001767255",4.85202480608538,0,9.37107155137264,0,0
"s__Corynebacterium tuberculostearicum",4.62447416554129,0,24.2531561610373,0,0
"g__Lawsonella",28.6640219714498,0,45.9436588327463,32.9222812167612,0
"s__Atopobium deltae",3.70801366753541,0,4.89044258658392,0,0
"s__Atopobium minutum",2.27818688359772,0,4.89305214987427,0,0
"s__Fannyhessea vaginae",3.15426700252764,0,22.7213848419913,0,0
"s__Lancefieldella parvula",1.62244113724205,0,31.2971297654399,0,0
"s__Lancefieldella rimae",3.77075698885193,0,4.90030099877484,0,0
"s__Lancefieldella sp000564995",39.2005419764495,0,26.3205017101684,0,0
"g__NM07-P-09",5.581275525433,0,3.07111886980061,0,0
"s__Olegusella massiliensis",3.27332493069682,0,4.90828745041155,0,0
"s__Parolsenella catena",11.549418957619,0,13.1662585445162,0,0
"s__Thermophilibacter avicola",5.0023335472929,0,32.6194378178081,0,0
"g__UBA1367",3.77076008714927,0,12.3200968610942,0,0
"s__Collinsella intestinalis",3.3979974200515,0,10.7600352329417,0,0
"s__Collinsella sp000434535",67.9057201941017,0,5.13822388877011,8.3410855023682,19.2019269855081
"s__Collinsella tanakaei",6.81700030004096,0,16.8186813972967,0,0
"g__Adlercreutzia_404199",4.0296250781544,0,14.3788388351399,0,0
"s__Adlercreutzia caecicola",2.65705175942859,0,4.90679694532303,0,0
"s__Adlercreutzia equolifaciens",41.0448496935383,0,3.03269840338518,0,0
"s__Adlercreutzia mucosicola",18.7033304104291,0,13.2498443212037,9.28971294503076,0
"s__CAG-1427 sp000435475",6.44893464314764,0,0.183328108667545,0,0
"s__CAG-1427 sp000435675",31.7514808318088,0,1.63093513300188,0,4.66051332573024
"s__CAG-1427 sp900542265",6.85044760206491,0,2.1959940418563,0,0
"s__Cryptobacterium curtum",1.56636379272656,0,4.89262470644452,0,0
"s__Eggerthella lenta",24.853695928284,0,6.7032695403657,0,1.77942702953689
"s__Ellagibacter isourolithinifaciens",7.65271905587119,0,3.35207505438171,0,0
"s__Gordonibacter pamelaeae",27.4958496559882,0,6.55781183904739,0,0
"s__Gordonibacter urolithinfaciens",14.5554637800952,0,7.14324998874014,0,0
"s__Paraeggerthella hongkongensis_A_404295",4.9574172925645,0,2.67494686950783,0,0
"s__Raoultibacter sp901411515",3.36432986649771,0,3.70052481220202,0,0
"s__Rubneribacter badeniensis",2.76766262454403,0,4.88267946356963,0,0
"s__Senegalimassilia anaerobia",17.9122641691019,0,1.41549561934606,0,0
"s__Senegalimassilia faecalis",6.10647013754443,0,18.9364741583182,0,0
"s__Slackia_A exigua",1.12243617792206,0,4.89749614036736,0,0
"s__Slackia_A faecicanis",1.5319342530377,0,4.89446121946125,0,0
"s__Slackia_A isoflavoniconvertens",12.5317620417165,0,3.65576440511871,0,0
"s__Slackia_A piriformis",18.6224445202916,0,14.6442073565558,9.14214855991123,0
"s__QAMH01 sp003149935",31.9194946934758,0,10.1303501261025,0,0
"s__Alloprevotella sp002933955",3.07990218676424,0,9.10147434118353,0,0
"s__Alloprevotella timonensis",6.74090957682106,0,1.47812344635983,0,0
"g__Bacteroides_H",12.1788289311134,0,2.25053816663203,0,0
"s__Bacteroides_H acidifaciens",9.79449694442312,0,2.87876674194149,0,0
"s__Bacteroides_H caccae",34.6054754860264,0,1.19946002994686,0,0
"s__Bacteroides_H caecimuris",12.3895846359136,0,23.5705411155525,32.5949994828774,13.0627081847857
